"Newbie" "Age" "Gender" "Household.Income" "Sexual.Preference" "Education.Attainment" "Major.Occupation" "Marital.Status"
0 27 "Female" "$40-49" "Lesbian" "College" "Computer" "Single"
0 23 "Male" "$20-29" "Heterosexual" "Special" "Other" "Single"
1 28 "Male" "$50-74" "Heterosexual" "High School" "Other" "Married"
0 30 "Male" "$40-49" "Heterosexual" "College" "Computer" "Single"
0 35 "Male" "$40-49" "Heterosexual" "Masters" "Management" "Other"
1 54 "Female" "$50-74" "Heterosexual" "Some College" "Other" "Married"
1 56 "Male" "$75-99" "Heterosexual" "Some College" "Management" "Single"
0 33 "Male" "Over $100" "Gay male" "Some College" "Other" "Other"
1 37 "Female" "$20-29" "Heterosexual" "Some College" "Management" "Married"
0 36 "Male" "$75-99" "Heterosexual" "College" "Computer" "Married"
0 36 "Male" "$10-19" "Heterosexual" "Doctoral" "Education" "Married"
0 29 "Male" "$40-49" "Heterosexual" "College" "Computer" "Single"
0 43 "Male" "$30-39" "Heterosexual" "Special" "Education" "Single"
0 33 "Male" "Over $100" "Heterosexual" "Some College" "Professional" "Divorced"
0 39 "Female" "$50-74" "Heterosexual" "College" "Other" "Married"
0 49 "Male" "$75-99" "Gay male" "College" "Computer" "Single"
0 55 "Male" "$50-74" "Heterosexual" "College" "Computer" "Married"
0 32 "Female" "$10-19" "Heterosexual" "Masters" "Other" "Other"
1 17 "Male" "$75-99" "Heterosexual" "Grammar" "Education" "Single"
0 19 "Male" "Under $10" "Heterosexual" "Some College" "Education" "Single"
0 34 "Male" "$30-39" "Heterosexual" "Some College" "Computer" "Married"
0 36 "Female" "$50-74" "Heterosexual" "College" "Education" "Other"
0 32 "Female" "$50-74" "Heterosexual" "College" "Professional" "Single"
0 37 "Female" "Over $100" "Heterosexual" "College" "Professional" "Married"
0 54 "Female" "$75-99" "Heterosexual" "High School" "Computer" "Divorced"
0 25 "Female" "$50-74" "Lesbian" "College" "Computer" "Other"
0 28 "Male" "$50-74" "Heterosexual" "College" "Computer" "Other"
1 7 "Male" "$75-99" "Gay male" "Masters" "Education" "Other"
0 31 "Male" "$30-39" "Gay male" "College" "Other" "Married"
0 46 "Male" "$75-99" "Heterosexual" "Some College" "Computer" "Single"
0 34 "Male" "$75-99" "Heterosexual" "College" "Professional" "Married"
0 29 "Female" "$75-99" "Heterosexual" "College" "Management" "Married"
0 28 "Male" "Under $10" "Heterosexual" "Professional" "Computer" "Married"
1 58 "Female" "$50-74" "Heterosexual" "Masters" "Education" "Married"
0 28 "Male" "$30-39" "Heterosexual" "College" "Management" "Single"
1 63 "Male" "$30-39" "Heterosexual" "Special" "Other" "Married"
0 34 "Male" "$50-74" "Heterosexual" "Some College" "Professional" "Married"
0 41 "Male" "$20-29" "Heterosexual" "Special" "Professional" "Single"
1 42 "Female" "$50-74" "Heterosexual" "College" "Professional" "Married"
0 51 "Female" "$20-29" "Heterosexual" "Some College" "Other" "Married"
0 22 "Male" "$30-39" "Heterosexual" "High School" "Computer" "Single"
0 28 "Male" "$10-19" "Gay male" "Doctoral" "Education" "Single"
0 36 "Male" "$75-99" "Heterosexual" "College" "Professional" "Married"
0 53 "Female" "$40-49" "Heterosexual" "Masters" "Education" "Married"
0 16 "Female" "$20-29" "Heterosexual" "High School" "Education" "Married"
0 22 "Male" "$20-29" "Heterosexual" "Some College" "Computer" "Married"
1 34 "Male" "$20-29" "Heterosexual" "College" "Other" "Single"
0 39 "Male" "$50-74" "Heterosexual" "College" "Computer" "Married"
0 38 "Male" "$50-74" "Heterosexual" "Some College" "Computer" "Single"
0 28 "Male" "$50-74" "Heterosexual" "College" "Computer" "Married"
0 29 "Male" "$20-29" "Heterosexual" "High School" "Other" "Married"
0 36 "Male" "$50-74" "Heterosexual" "High School" "Computer" "Married"
0 34 "Male" "$50-74" "Heterosexual" "Some College" "Computer" "Separated"
1 56 "Female" "$20-29" "Heterosexual" "Some College" "Other" "Married"
0 25 "Male" "Under $10" "Gay male" "Masters" "Management" "Single"
0 21 "Male" "Over $100" "Heterosexual" "Some College" "Computer" "Married"
0 46 "Male" "Over $100" "Heterosexual" "Doctoral" "Computer" "Divorced"
0 38 "Male" "Over $100" "Heterosexual" "Masters" "Computer" "Single"
0 25 "Male" "$20-29" "Heterosexual" "College" "Professional" "Single"
1 16 "Female" "Over $100" "Heterosexual" "Grammar" "Education" "Single"
0 26 "Male" "$10-19" "Heterosexual" "Masters" "Education" "Single"
0 51 "Male" "$50-74" "Heterosexual" "Masters" "Education" "Married"
1 63 "Female" "$40-49" "Heterosexual" "College" "Other" "Divorced"
0 36 "Male" "$10-19" "Heterosexual" "Other" "Other" "Single"
0 42 "Male" "Over $100" "Heterosexual" "College" "Management" "Married"
0 21 "Female" "Under $10" "Heterosexual" "Some College" "Education" "Single"
0 42 "Male" "$75-99" "Heterosexual" "Masters" "Management" "Married"
1 31 "Male" "$30-39" "Heterosexual" "Some College" "Other" "Separated"
0 54 "Male" "$75-99" "Heterosexual" "College" "Management" "Married"
0 40 "Male" "$20-29" "Heterosexual" "Some College" "Management" "Other"
0 48 "Female" "$50-74" "Heterosexual" "Some College" "Other" "Married"
0 25 "Male" "$40-49" "Heterosexual" "High School" "Computer" "Married"
0 37 "Male" "$50-74" "Heterosexual" "Some College" "Computer" "Divorced"
0 80 "Male" "$30-39" "Heterosexual" "Doctoral" "Professional" "Married"
0 20 "Male" "$30-39" "Heterosexual" "High School" "Education" "Single"
0 39 "Male" "$50-74" "Heterosexual" "Some College" "Computer" "Married"
0 30 "Male" "$50-74" "Heterosexual" "College" "Computer" "Single"
0 26 "Male" "$40-49" "Heterosexual" "Masters" "Computer" "Single"
0 21 "Male" "Under $10" "Heterosexual" "High School" "Computer" "Separated"
1 51 "Female" "$30-39" "Heterosexual" "Some College" "Management" "Divorced"
0 43 "Female" "$30-39" "Heterosexual" "Some College" "Other" "Married"
1 27 "Female" "$40-49" "Heterosexual" "Some College" "Management" "Single"
0 57 "Female" "$30-39" "Heterosexual" "College" "Computer" "Widowed"
0 26 "Male" "$50-74" "Heterosexual" "Some College" "Computer" "Other"
1 21 "Female" "$10-19" "Heterosexual" "Some College" "Education" "Single"
0 31 "Male" "$50-74" "Heterosexual" "College" "Computer" "Married"
0 14 "Male" "$75-99" "Heterosexual" "Grammar" "Education" "Single"
1 32 "Male" "$40-49" "Heterosexual" "College" "Management" "Married"
0 43 "Male" "$40-49" "Gay male" "Some College" "Professional" "Other"
0 50 "Male" "Over $100" "Heterosexual" "Masters" "Computer" "Married"
0 23 "Male" "$50-74" "Heterosexual" "Some College" "Computer" "Single"
0 27 "Female" "$50-74" "Heterosexual" "College" "Management" "Married"
0 38 "Female" "$30-39" "Heterosexual" "Some College" "Computer" "Married"
0 26 "Female" "$30-39" "Heterosexual" "Some College" "Education" "Married"
0 25 "Female" "$75-99" "Heterosexual" "College" "Computer" "Other"
0 29 "Male" "$50-74" "Heterosexual" "Masters" "Computer" "Single"
1 20 "Male" "$10-19" "Heterosexual" "Some College" "Education" "Single"
0 24 "Male" "Under $10" "Heterosexual" "College" "Education" "Single"
1 44 "Male" "$50-74" "Heterosexual" "Some College" "Management" "Married"
0 42 "Male" "$50-74" "Heterosexual" "Some College" "Computer" "Married"
1 34 "Male" "$50-74" "Heterosexual" "High School" "Professional" "Married"
0 23 "Male" "$50-74" "Heterosexual" "Masters" "Computer" "Other"
0 21 "Male" "$10-19" "Heterosexual" "Some College" "Computer" "Single"
1 25 "Male" "$30-39" "Heterosexual" "College" "Computer" "Single"
0 43 "Female" "$30-39" "Heterosexual" "College" "Professional" "Divorced"
0 42 "Male" "$30-39" "Heterosexual" "Special" "Other" "Married"
0 28 "Male" "$30-39" "Heterosexual" "Masters" "Management" "Single"
0 27 "Male" "$50-74" "Heterosexual" "College" "Computer" "Single"
0 37 "Male" "$75-99" "Heterosexual" "College" "Computer" "Married"
0 26 "Male" "$30-39" "Heterosexual" "College" "Professional" "Single"
1 45 "Male" "$40-49" "Heterosexual" "Some College" "Other" "Divorced"
0 39 "Male" "$50-74" "Heterosexual" "Some College" "Management" "Married"
1 20 "Female" "Under $10" "Heterosexual" "Special" "Education" "Single"
0 39 "Male" "$50-74" "Heterosexual" "College" "Professional" "Single"
0 38 "Male" "$30-39" "Heterosexual" "College" "Computer" "Single"
0 30 "Male" "$40-49" "Heterosexual" "Some College" "Other" "Married"
0 30 "Male" "$30-39" "Heterosexual" "Some College" "Other" "Divorced"
1 43 "Female" "$20-29" "Heterosexual" "College" "Computer" "Divorced"
1 44 "Female" "$50-74" "Heterosexual" "Some College" "Management" "Other"
1 27 "Female" "$40-49" "Heterosexual" "Some College" "Computer" "Married"
0 33 "Female" "$50-74" "Heterosexual" "Masters" "Management" "Divorced"
0 34 "Male" "$50-74" "Heterosexual" "College" "Professional" "Married"
1 45 "Male" "$20-29" "Heterosexual" "Some College" "Professional" "Married"
0 49 "Male" "Over $100" "Heterosexual" "Masters" "Management" "Married"
0 46 "Male" "Under $10" "Heterosexual" "College" "Education" "Divorced"
0 46 "Female" "$40-49" "Heterosexual" "Doctoral" "Education" "Married"
0 29 "Male" "$20-29" "Heterosexual" "Masters" "Professional" "Divorced"
1 45 "Male" "$30-39" "Heterosexual" "Some College" "Management" "Married"
0 34 "Male" "$75-99" "Heterosexual" "Some College" "Management" "Married"
0 28 "Male" "$20-29" "Heterosexual" "Other" "Education" "Single"
0 40 "Male" "$40-49" "Gay male" "College" "Computer" "Single"
0 55 "Female" "$75-99" "Heterosexual" "Some College" "Management" "Married"
1 34 "Female" "$20-29" "Heterosexual" "Some College" "Other" "Married"
0 31 "Male" "$50-74" "Heterosexual" "College" "Computer" "Married"
0 30 "Male" "$50-74" "Heterosexual" "College" "Professional" "Married"
0 33 "Female" "$30-39" "Heterosexual" "Masters" "Professional" "Single"
1 22 "Male" "$10-19" "Heterosexual" "College" "Education" "Single"
0 16 "Male" "$40-49" "Heterosexual" "High School" "Computer" "Single"
1 35 "Male" "$20-29" "Heterosexual" "Special" "Computer" "Married"
0 21 "Female" "$20-29" "Heterosexual" "Some College" "Computer" "Single"
0 31 "Male" "$40-49" "Heterosexual" "Professional" "Computer" "Single"
0 23 "Male" "$10-19" "Heterosexual" "Masters" "Education" "Single"
0 30 "Male" "$30-39" "Heterosexual" "Some College" "Computer" "Single"
0 26 "Male" "$30-39" "Heterosexual" "College" "Computer" "Single"
0 43 "Female" "$50-74" "Heterosexual" "College" "Other" "Married"
0 48 "Male" "Over $100" "Heterosexual" "Professional" "Professional" "Married"
0 49 "Male" "$30-39" "Heterosexual" "Some College" "Other" "Married"
0 42 "Female" "$75-99" "Heterosexual" "Masters" "Professional" "Married"
1 18 "Female" "Under $10" "Heterosexual" "Some College" "Education" "Single"
0 42 "Male" "$40-49" "Gay male" "Some College" "Management" "Other"
0 32 "Male" "$30-39" "Bisexual" "Masters" "Education" "Other"
1 19 "Female" "Under $10" "Heterosexual" "Special" "Computer" "Single"
1 24 "Female" "$75-99" "Heterosexual" "College" "Professional" "Married"
1 45 "Male" "$50-74" "Heterosexual" "Other" "Management" "Married"
0 33 "Female" "$75-99" "Heterosexual" "Masters" "Management" "Married"
0 35 "Female" "$50-74" "Heterosexual" "Doctoral" "Professional" "Married"
0 23 "Male" "$10-19" "Heterosexual" "Some College" "Other" "Single"
0 31 "Male" "Over $100" "Heterosexual" "Masters" "Computer" "Married"
0 42 "Male" "$75-99" "Heterosexual" "College" "Professional" "Married"
0 22 "Male" "$20-29" "Heterosexual" "College" "Computer" "Other"
0 36 "Male" "$30-39" "Heterosexual" "Some College" "Computer" "Other"
0 29 "Male" "$50-74" "Heterosexual" "College" "Computer" "Married"
1 25 "Male" "$20-29" "Heterosexual" "High School" "Professional" "Other"
1 36 "Female" "$20-29" "Heterosexual" "Some College" "Other" "Other"
0 45 "Female" "Over $100" "Heterosexual" "Some College" "Computer" "Divorced"
0 27 "Male" "$20-29" "Heterosexual" "College" "Professional" "Single"
0 51 "Male" "Over $100" "Heterosexual" "Some College" "Management" "Married"
1 67 "Male" "$50-74" "Heterosexual" "College" "Other" "Married"
0 21 "Female" "Under $10" "Heterosexual" "Some College" "Education" "Other"
1 41 "Female" "$50-74" "Heterosexual" "College" "Computer" "Married"
0 37 "Female" "$50-74" "Lesbian" "College" "Management" "Other"
1 29 "Male" "$50-74" "Heterosexual" "Some College" "Computer" "Married"
0 48 "Female" "Over $100" "Heterosexual" "Professional" "Professional" "Married"
0 26 "Male" "$50-74" "Gay male" "College" "Computer" "Single"
0 46 "Male" "$50-74" "Heterosexual" "Professional" "Computer" "Single"
0 23 "Male" "$30-39" "Heterosexual" "Some College" "Computer" "Single"
1 38 "Female" "$50-74" "Heterosexual" "Some College" "Education" "Married"
0 27 "Male" "$30-39" "Heterosexual" "College" "Computer" "Single"
0 33 "Male" "Over $100" "Heterosexual" "College" "Computer" "Married"
0 26 "Male" "$40-49" "Heterosexual" "College" "Education" "Married"
0 50 "Male" "Over $100" "Heterosexual" "Masters" "Management" "Married"
0 66 "Male" "$50-74" "Bisexual" "Some College" "Management" "Single"
0 24 "Male" "$20-29" "Heterosexual" "College" "Education" "Single"
1 18 "Female" "Over $100" "Heterosexual" "High School" "Education" "Single"
0 32 "Male" "$75-99" "Heterosexual" "Masters" "Computer" "Other"
0 26 "Female" "$40-49" "Heterosexual" "Some College" "Computer" "Other"
1 27 "Male" "$10-19" "Heterosexual" "Other" "Computer" "Other"
0 18 "Female" "$75-99" "Heterosexual" "Some College" "Education" "Single"
0 26 "Male" "$50-74" "Heterosexual" "College" "Computer" "Single"
0 24 "Male" "$20-29" "Heterosexual" "College" "Education" "Married"
0 38 "Female" "$50-74" "Heterosexual" "Masters" "Education" "Married"
0 43 "Female" "$50-74" "Heterosexual" "Masters" "Computer" "Married"
0 61 "Male" "$50-74" "Heterosexual" "College" "Management" "Married"
0 38 "Male" "$50-74" "Heterosexual" "College" "Computer" "Married"
0 21 "Male" "$50-74" "Bisexual" "Some College" "Computer" "Other"
0 40 "Male" "$40-49" "Heterosexual" "Some College" "Computer" "Separated"
0 59 "Female" "$50-74" "Heterosexual" "Masters" "Other" "Married"
0 34 "Male" "Over $100" "Heterosexual" "Some College" "Other" "Married"
0 23 "Male" "$30-39" "Heterosexual" "Special" "Computer" "Single"
0 24 "Male" "$20-29" "Heterosexual" "College" "Professional" "Other"
0 27 "Male" "$75-99" "Heterosexual" "College" "Computer" "Married"
1 51 "Female" "$40-49" "Heterosexual" "Some College" "Management" "Divorced"
1 51 "Male" "$75-99" "Heterosexual" "Masters" "Professional" "Married"
0 45 "Male" "Over $100" "Heterosexual" "Doctoral" "Computer" "Married"
0 43 "Male" "$75-99" "Heterosexual" "College" "Professional" "Married"
0 30 "Female" "$50-74" "Heterosexual" "College" "Computer" "Single"
0 43 "Female" "$30-39" "Heterosexual" "Masters" "Education" "Single"
0 22 "Male" "$10-19" "Heterosexual" "High School" "Other" "Single"
0 28 "Male" "$30-39" "Heterosexual" "College" "Computer" "Single"
1 22 "Female" "$10-19" "Heterosexual" "Some College" "Other" "Married"
1 50 "Male" "$50-74" "Heterosexual" "College" "Computer" "Married"
0 35 "Male" "$75-99" "Heterosexual" "Doctoral" "Education" "Married"
1 46 "Female" "Over $100" "Heterosexual" "Some College" "Professional" "Married"
1 37 "Female" "$30-39" "Heterosexual" "Some College" "Professional" "Married"
0 16 "Male" "Over $100" "Heterosexual" "High School" "Computer" "Single"
0 54 "Female" "$40-49" "Heterosexual" "Some College" "Professional" "Divorced"
0 44 "Male" "$50-74" "Heterosexual" "Doctoral" "Professional" "Single"
0 23 "Male" "$20-29" "Heterosexual" "Some College" "Education" "Single"
0 31 "Male" "$50-74" "Heterosexual" "Masters" "Professional" "Single"
1 67 "Male" "$10-19" "Heterosexual" "High School" "Other" "Widowed"
0 40 "Female" "$75-99" "Heterosexual" "Masters" "Professional" "Married"
0 42 "Female" "Over $100" "Heterosexual" "College" "Management" "Single"
0 36 "Male" "$20-29" "Heterosexual" "Doctoral" "Education" "Married"
0 30 "Male" "$40-49" "Heterosexual" "Special" "Professional" "Married"
0 20 "Male" "$40-49" "Heterosexual" "Some College" "Other" "Single"
0 28 "Male" "$40-49" "Heterosexual" "Masters" "Professional" "Single"
0 25 "Male" "$50-74" "Heterosexual" "Special" "Computer" "Single"
1 22 "Female" "$30-39" "Heterosexual" "College" "Professional" "Single"
0 47 "Female" "$75-99" "Heterosexual" "Doctoral" "Education" "Married"
1 56 "Female" "$40-49" "Heterosexual" "Some College" "Other" "Married"
0 35 "Female" "$50-74" "Heterosexual" "Some College" "Professional" "Married"
0 46 "Male" "$50-74" "Heterosexual" "Masters" "Professional" "Divorced"
0 20 "Male" "Under $10" "Heterosexual" "College" "Education" "Single"
0 40 "Female" "$20-29" "Heterosexual" "College" "Education" "Married"
1 28 "Male" "$30-39" "Heterosexual" "College" "Professional" "Single"
0 36 "Male" "$10-19" "Heterosexual" "Some College" "Professional" "Other"
0 53 "Female" "$10-19" "Lesbian" "College" "Professional" "Single"
0 37 "Male" "$50-74" "Heterosexual" "Masters" "Professional" "Married"
0 19 "Male" "$50-74" "Heterosexual" "High School" "Education" "Single"
0 23 "Male" "$30-39" "Heterosexual" "College" "Computer" "Married"
0 61 "Male" "Over $100" "Heterosexual" "College" "Other" "Married"
0 35 "Female" "Over $100" "Heterosexual" "Some College" "Other" "Married"
1 31 "Female" "$20-29" "Heterosexual" "High School" "Other" "Single"
0 31 "Male" "$30-39" "Heterosexual" "Some College" "Management" "Married"
1 21 "Female" "Under $10" "Heterosexual" "Some College" "Education" "Single"
0 32 "Male" "$50-74" "Heterosexual" "Masters" "Professional" "Married"
1 37 "Female" "$50-74" "Heterosexual" "College" "Professional" "Married"
0 29 "Female" "$40-49" "Heterosexual" "Some College" "Management" "Single"
0 46 "Male" "Over $100" "Heterosexual" "Special" "Management" "Married"
1 49 "Male" "$10-19" "Heterosexual" "Professional" "Professional" "Married"
0 40 "Female" "$40-49" "Heterosexual" "College" "Computer" "Married"
0 21 "Male" "$75-99" "Heterosexual" "Some College" "Computer" "Single"
0 40 "Male" "$20-29" "Heterosexual" "High School" "Management" "Single"
0 23 "Female" "$20-29" "Heterosexual" "College" "Professional" "Single"
0 37 "Female" "$40-49" "Heterosexual" "Masters" "Professional" "Divorced"
0 49 "Female" "$50-74" "Lesbian" "Masters" "Education" "Divorced"
0 35 "Male" "$50-74" "Gay male" "Some College" "Computer" "Other"
1 43 "Male" "$75-99" "Heterosexual" "Masters" "Professional" "Married"
0 35 "Male" "$75-99" "Heterosexual" "Doctoral" "Professional" "Married"
0 41 "Male" "$30-39" "Heterosexual" "Doctoral" "Education" "Single"
0 37 "Female" "$30-39" "Heterosexual" "Some College" "Computer" "Married"
1 61 "Male" "Over $100" "Heterosexual" "High School" "Computer" "Married"
0 73 "Male" "$75-99" "Heterosexual" "College" "Management" "Married"
0 55 "Male" "$75-99" "Bisexual" "Some College" "Education" "Married"
0 32 "Female" "$30-39" "Heterosexual" "Special" "Computer" "Married"
0 19 "Female" "$30-39" "Heterosexual" "Grammar" "Education" "Single"
0 27 "Male" "$50-74" "Heterosexual" "College" "Education" "Married"
0 52 "Female" "$75-99" "Heterosexual" "Some College" "Other" "Married"
0 25 "Male" "$20-29" "Heterosexual" "College" "Computer" "Single"
1 17 "Female" "$40-49" "Heterosexual" "High School" "Education" "Single"
0 32 "Male" "$40-49" "Heterosexual" "Some College" "Computer" "Other"
1 45 "Male" "$10-19" "Heterosexual" "Some College" "Other" "Single"
1 28 "Male" "$20-29" "Heterosexual" "Some College" "Education" "Single"
1 50 "Female" "$50-74" "Heterosexual" "Masters" "Education" "Married"
0 23 "Female" "$30-39" "Heterosexual" "College" "Computer" "Single"
0 34 "Female" "$40-49" "Heterosexual" "Some College" "Computer" "Single"
1 40 "Male" "$50-74" "Heterosexual" "High School" "Other" "Married"
0 47 "Male" "$50-74" "Heterosexual" "College" "Computer" "Divorced"
0 34 "Female" "Over $100" "Heterosexual" "Some College" "Computer" "Married"
0 24 "Male" "$50-74" "Heterosexual" "Some College" "Computer" "Married"
0 28 "Male" "$50-74" "Heterosexual" "Masters" "Management" "Married"
0 40 "Male" "$50-74" "Heterosexual" "Masters" "Education" "Married"
0 26 "Male" "$75-99" "Heterosexual" "College" "Computer" "Married"
0 54 "Female" "$30-39" "Heterosexual" "Some College" "Computer" "Divorced"
0 26 "Male" "$10-19" "Heterosexual" "Masters" "Education" "Single"
1 59 "Male" "$50-74" "Heterosexual" "Some College" "Professional" "Married"
0 47 "Male" "$75-99" "Heterosexual" "College" "Professional" "Married"
0 24 "Male" "Under $10" "Heterosexual" "Some College" "Education" "Single"
0 38 "Male" "$10-19" "Bisexual" "Masters" "Education" "Single"
0 47 "Female" "$75-99" "Heterosexual" "Some College" "Management" "Married"
1 48 "Male" "$40-49" "Heterosexual" "Professional" "Computer" "Other"
0 25 "Female" "$20-29" "Heterosexual" "Some College" "Education" "Other"
0 40 "Female" "$20-29" "Heterosexual" "Some College" "Other" "Separated"
0 27 "Male" "$30-39" "Heterosexual" "College" "Education" "Other"
1 30 "Female" "$10-19" "Heterosexual" "College" "Other" "Single"
0 44 "Male" "$75-99" "Heterosexual" "Masters" "Education" "Married"
0 48 "Male" "Over $100" "Heterosexual" "Masters" "Management" "Married"
0 61 "Male" "$50-74" "Heterosexual" "Masters" "Computer" "Married"
0 40 "Female" "$10-19" "Heterosexual" "College" "Education" "Married"
0 32 "Male" "$75-99" "Heterosexual" "Some College" "Computer" "Married"
0 47 "Female" "$50-74" "Heterosexual" "Masters" "Professional" "Married"
1 30 "Female" "Under $10" "Lesbian" "Some College" "Education" "Other"
1 45 "Female" "Over $100" "Heterosexual" "College" "Professional" "Married"
0 36 "Female" "$10-19" "Heterosexual" "College" "Computer" "Single"
0 33 "Male" "$20-29" "Heterosexual" "Masters" "Computer" "Single"
0 55 "Male" "$30-39" "Heterosexual" "Doctoral" "Professional" "Divorced"
1 42 "Male" "$40-49" "Heterosexual" "Some College" "Other" "Married"
1 30 "Female" "$50-74" "Heterosexual" "Some College" "Other" "Married"
0 56 "Male" "$30-39" "Heterosexual" "Some College" "Other" "Married"
1 30 "Female" "$30-39" "Heterosexual" "College" "Professional" "Married"
0 56 "Male" "$20-29" "Heterosexual" "Masters" "Other" "Divorced"
0 20 "Male" "$50-74" "Gay male" "Some College" "Education" "Other"
0 21 "Female" "$20-29" "Heterosexual" "College" "Computer" "Married"
0 33 "Female" "$50-74" "Bisexual" "College" "Computer" "Married"
0 32 "Male" "$40-49" "Heterosexual" "Some College" "Computer" "Divorced"
1 35 "Male" "$50-74" "Heterosexual" "College" "Professional" "Married"
0 23 "Male" "$20-29" "Heterosexual" "Some College" "Computer" "Single"
0 57 "Male" "Over $100" "Heterosexual" "Masters" "Computer" "Married"
0 28 "Male" "$75-99" "Heterosexual" "Doctoral" "Computer" "Married"
1 32 "Female" "$20-29" "Heterosexual" "Some College" "Professional" "Single"
0 47 "Male" "$20-29" "Heterosexual" "Some College" "Other" "Married"
0 31 "Male" "$30-39" "Heterosexual" "College" "Computer" "Single"
0 27 "Male" "$75-99" "Heterosexual" "College" "Management" "Married"
1 49 "Female" "$50-74" "Heterosexual" "Masters" "Professional" "Married"
0 39 "Male" "Over $100" "Heterosexual" "Masters" "Professional" "Married"
0 35 "Male" "$10-19" "Heterosexual" "Masters" "Education" "Married"
0 18 "Male" "$40-49" "Heterosexual" "Some College" "Education" "Single"
0 24 "Male" "$40-49" "Heterosexual" "College" "Computer" "Single"
0 68 "Male" "$30-39" "Gay male" "College" "Professional" "Single"
0 33 "Male" "$30-39" "Heterosexual" "Some College" "Computer" "Single"
1 15 "Female" "$10-19" "Heterosexual" "Grammar" "Education" "Single"
1 46 "Female" "$40-49" "Bisexual" "High School" "Management" "Married"
0 41 "Male" "$30-39" "Heterosexual" "College" "Computer" "Divorced"
0 34 "Female" "$20-29" "Heterosexual" "Some College" "Education" "Married"
0 28 "Male" "$50-74" "Heterosexual" "College" "Professional" "Single"
0 25 "Male" "$40-49" "Heterosexual" "College" "Professional" "Single"
0 20 "Female" "$30-39" "Heterosexual" "Some College" "Education" "Single"
1 31 "Male" "$50-74" "Bisexual" "Some College" "Computer" "Other"
0 17 "Male" "Under $10" "Heterosexual" "Grammar" "Computer" "Single"
1 19 "Male" "$50-74" "Heterosexual" "Some College" "Other" "Single"
1 24 "Female" "$10-19" "Heterosexual" "College" "Education" "Single"
0 23 "Male" "$20-29" "Heterosexual" "College" "Education" "Single"
1 69 "Male" "$40-49" "Heterosexual" "Professional" "Professional" "Married"
0 15 "Male" "$50-74" "Heterosexual" "High School" "Computer" "Single"
0 43 "Female" "Over $100" "Heterosexual" "College" "Computer" "Married"
0 57 "Female" "$50-74" "Heterosexual" "Some College" "Computer" "Separated"
1 32 "Female" "$75-99" "Heterosexual" "College" "Other" "Married"
0 42 "Male" "$50-74" "Heterosexual" "Some College" "Computer" "Married"
0 40 "Female" "$50-74" "Heterosexual" "College" "Professional" "Married"
1 34 "Male" "$40-49" "Heterosexual" "College" "Professional" "Married"
0 46 "Male" "$75-99" "Heterosexual" "Some College" "Professional" "Married"
0 51 "Female" "$50-74" "Heterosexual" "Some College" "Other" "Married"
0 36 "Male" "Over $100" "Heterosexual" "College" "Computer" "Married"
0 51 "Female" "$75-99" "Heterosexual" "College" "Computer" "Married"
1 35 "Male" "$50-74" "Heterosexual" "College" "Computer" "Single"
0 47 "Female" "$20-29" "Heterosexual" "College" "Professional" "Single"
0 15 "Male" "$10-19" "Heterosexual" "Grammar" "Education" "Single"
1 24 "Female" "Under $10" "Lesbian" "Some College" "Education" "Single"
0 57 "Male" "Over $100" "Heterosexual" "College" "Management" "Married"
1 33 "Female" "$20-29" "Heterosexual" "High School" "Other" "Married"
0 33 "Female" "$40-49" "Heterosexual" "College" "Computer" "Single"
0 18 "Male" "Over $100" "Heterosexual" "Grammar" "Education" "Single"
0 55 "Female" "$75-99" "Heterosexual" "Masters" "Education" "Married"
0 18 "Male" "$50-74" "Bisexual" "High School" "Education" "Single"
0 27 "Male" "$75-99" "Heterosexual" "College" "Computer" "Married"
1 27 "Male" "$30-39" "Heterosexual" "Some College" "Computer" "Divorced"
0 44 "Female" "$75-99" "Heterosexual" "Doctoral" "Education" "Married"
0 30 "Female" "Over $100" "Heterosexual" "Professional" "Professional" "Divorced"
0 37 "Male" "$50-74" "Heterosexual" "Some College" "Computer" "Married"
0 24 "Male" "$30-39" "Heterosexual" "College" "Professional" "Single"
0 31 "Female" "$10-19" "Heterosexual" "College" "Computer" "Single"
0 35 "Male" "$10-19" "Heterosexual" "Masters" "Professional" "Single"
0 51 "Male" "$30-39" "Heterosexual" "Some College" "Other" "Married"
0 21 "Male" "$30-39" "Heterosexual" "College" "Education" "Single"
0 21 "Female" "$40-49" "Lesbian" "College" "Computer" "Other"
0 35 "Male" "$50-74" "Heterosexual" "Masters" "Professional" "Single"
0 24 "Female" "Under $10" "Heterosexual" "High School" "Education" "Single"
1 37 "Female" "Over $100" "Heterosexual" "College" "Other" "Married"
0 46 "Male" "$75-99" "Heterosexual" "College" "Other" "Married"
1 22 "Male" "$10-19" "Heterosexual" "Some College" "Education" "Single"
0 33 "Male" "$30-39" "Heterosexual" "Some College" "Computer" "Married"
1 42 "Male" "$50-74" "Heterosexual" "College" "Other" "Married"
1 19 "Male" "$30-39" "Heterosexual" "Some College" "Education" "Single"
1 18 "Female" "Under $10" "Heterosexual" "High School" "Education" "Single"
1 21 "Male" "$40-49" "Heterosexual" "High School" "Other" "Single"
0 19 "Male" "Under $10" "Heterosexual" "Some College" "Education" "Single"
0 22 "Male" "$20-29" "Heterosexual" "College" "Professional" "Single"
0 29 "Male" "$40-49" "Heterosexual" "Some College" "Computer" "Other"
